Simbolo,Nome,NumeroAtomico,Linha,Coluna,EstadoFisico
H,Hidrogênio,1,1,1,Gasoso
He,Hélio,2,1,18,Gasoso
Li,Lítio,3,2,1,Solido
Be,Berílio,4,2,2,Solido
B,Boro,5,2,13,Solido
C,Carbono,6,2,14,Solido
N,Nitrogênio,7,2,15,Gasoso
O,Oxigênio,8,2,16,Gasoso
F,Fluor,9,2,17,Gasoso
Ne,Neônio,10,2,18,Gasoso
Na,Sódio,11,3,1,Solido
Mg,Magnésio,12,3,2,Solido
Al,Alumínio,13,3,13,Solido
Si,Silício,14,3,14,Solido
P,Fósforo,15,3,15,Solido
S,Enxofre,16,3,16,Solido
Cl,Cloro,17,3,17,Gasoso
Ar,Argônio,18,3,18,Gasoso
Co,Cobalto,27,4,9,Solido
Br,Bromo,35,4,17,Liquido